CDA,GDC,PDC,IDC
id,files.file_id,files.file_id,files.crdc_instance_uuid
identifier,identifier.GDC,identifier.PDC,identifier.IDC
identifier.system,GDC,PDC,IDC
identifier.value,File.id,File.id,File.id
label,files.file_name,files.file_name,files.gcs_url
data_category,files.data_catagory,files.data_catagory,Imaging
data_type,files.data_type,files.file_type,N/A
file_format,files.data_format,files.file_format,DICOM
associated_project,cases.project.project_id,cases.project_submitter_id,files.collection_id
drs_uri,drs://dg.4DFC:{files.file_id},drs://dg.4DFC:{files.file_id},N/A
byte_size,files.file_size,files.file_size,N/A
checksum,files.md5sum,files.md5sum,N/A
data_modality,Genomic,Proteomic,Imaging
imaging_modality,N/A,N/A,files.Modality
dbgap_accession_number,"cases.project.dbgap_
accession_number",files.dbgap_control_number,N/A
