CDA,GDC,PDC,IDC
id,"cases.samples.sample_id, cases.samples.portions.portion_id, cases.samples.portions.slide_id cases.samples.portions.analytes.analyte_id, cases.samples.portons.analytes.aliquotes.aliquot_id","cases.samples.sample_id,
cases.samples.aliquots.aliquot_id",N/A
identifier.system,GDC,PDC,IDC
identifier.value,ResearchSubject.Specimen.id,ResearchSubject.Specimen.id,N/A
associated_project,cases.project.project_id,cases.project_submitter_id,N/A
age_at_collection,cases.demographic.days_to_birth,cases.demographics.days_to_birth,N/A
primary_disease_type,cases.disease_type,cases.disease_type,N/A
anatomical_site,cases.samples.biospecimen_anatomic_site,cases.samples.biospecimen_anatomic_site,N/A
source_material_type,cases.samples.sample_type,cases.samples.sample_type,N/A
specimen_type,"sample, portion, slide, analyte, or aliquot",sample or aliquot,N/A
derived_from_specimen,"cases.samples.sample_id,
cases.samples.portions.portion_id,
cases.samples.portions.analytes.analyte_id",cases.samples.sample_id,N/A
derived_from_subject,cases.submitter_id,cases.case_submitter_id,N/A
