CDA,GDC,PDC,IDC
id,case.submitter_id,cases.case.submitter_id,files.PatientID
identifier.system,GDC,PDC,IDC
identifier.value,id,id,id
species,Homo sapiens,cases.taxon,files.tcia_species
sex,case.demographic.gender,cases.demographics.gender,No Mapping Available
race,case.demographic.race,cases.demographics.race,No Mapping Available
ethnicity,case.demographic.ethnicity,cases.demographics.ethnicity,No Mapping Available
days_to_birth,case.demographic.days_to_birth,cases.demographics.days_to_birth,No Mapping Available
subject_associated_project,cases.project.project_id,cases.project_submitter_id,files.collection_id
vital_status,case.demographic.vital_status,cases.demographic.vital_status,No Mapping Available
age_at_death,case.demographic.days_to_death,cases.demographic.days_to_death,No Mapping Available
cause_of_death,case.demographic.cause_of_death,cases.demographic.cause_of_death,No Mapping Available
