column_name,description,data_type
id,"The 'logical' identifier of the entity in the repository, e.g. a UUID.  This 'id' is unique within a given system. The identified entity may have a different 'id' in a different system.",STRING
identifier,"A 'business' identifier  or accession number for the entity, typically as provided by an external system or authority, that persists across implementing systems  (i.e. a  'logical' identifier). ","ARRAY<STRUCT<system STRING, value STRING>>"
identifier.system,The system or namespace that defines the identifier.,STRING
identifier.value,"The value of the identifier, as defined by the system.",STRING
label,Short name or abbreviation for dataset. Maps to rdfs:label.,STRING
data_category, ,STRING
data_type, ,STRING
file_format,String to identify the full file extension including compression extensions.,STRING
associated_project,A reference to the Project(s) of which this ResearchSubject is a member. The associated_project may be embedded using the $ref definition or may be a reference to the id for the Project - or a URI expressed as a string to an existing entity.,STRING
drs_uri,,STRING
byte_size,Size of the file in bytes. Maps to dcat:byteSize.,INT64
checksum, ,STRING
data_modality,,STRING
imaging_modality,,STRING
dbgap_accession_number,,STRING
crdc_series_uuid,,STRING
Subject,A patient entity captures the study-independent metadata for research subjects. Human research subjects are usually not traceable to a particular person to protect the subject’s privacy.,"ARRAY<STRUCT<id STRING, identifier ARRAY<STRUCT<system STRING, value STRING>>, species STRING, sex STRING, race STRING, ethnicity STRING, days_to_birth INT64, subject_associated_project ARRAY<STRING>, vital_status STRING, age_at_death INT64, cause_of_death STRING>>"
Subject.id,"The 'logical' identifier of the entity in the system of record, e.g. a UUID.  This 'id' is unique within a given system. The identified entity may have a different 'id' in a different system.",STRING
Subject.identifier,"A 'business' identifier for the entity, typically as provided by an external system or authority, that persists across implementing systems  (i.e. a  'logical' identifier). Uses a specialized, complex 'Identifier' data type to capture information about the source of the business identifier - or a URI expressed as a string to an existing entity. ","ARRAY<STRUCT<system STRING, value STRING>>"
Subject.identifier.system,The system or namespace that defines the identifier.,STRING
Subject.identifier.value,"The value of the identifier, as defined by the system.",STRING
Subject.species,,STRING
Subject.sex,,STRING
Subject.race,,STRING
Subject.ethnicity,,STRING
Subject.days_to_birth,"Per GDC Dictionary, number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.",INT64
Subject.subject_associated_project,,ARRAY<STRING>
Subject.vital_status,,STRING
Subject.age_at_death,,INT64
Subject.cause_of_death,,STRING
ResearchSubject,"A research subject is the entity of interest in a specific research study or project, typically a human being or an animal, but can also be a device, group of humans or animals, or a tissue sample. Human research subjects are usually not traceable to a particular person to protect the subject’s privacy.  This entity plays the role of the case_id in existing data.","ARRAY<STRUCT<id STRING, identifier ARRAY<STRUCT<system STRING, value STRING>>, member_of_research_project STRING, primary_diagnosis_condition STRING, primary_diagnosis_site STRING, Diagnosis ARRAY<STRUCT<id STRING, identifier ARRAY<STRUCT<system STRING, value STRING>>, primary_diagnosis STRING, age_at_diagnosis INT64, morphology STRING, stage STRING, grade STRING, method_of_diagnosis STRING, Treatment ARRAY<STRUCT<id STRING, identifier ARRAY<STRUCT<system STRING, value STRING>>, treatment_type STRING, treatment_outcome STRING, days_to_treatment_start INT64, days_to_treatment_end INT64, therapeutic_agent STRING, treatment_anatomic_site STRING, treatment_effect STRING, treatment_end_reason STRING, number_of_cycles INT64>>>>>>"
ResearchSubject.id,"The 'logical' identifier of the entity in the system of record, e.g. a UUID.  This 'id' is unique within a given system. The identified entity may have a different 'id' in a different system. For CDA, this is case_id.",STRING
ResearchSubject.identifier,"A 'business' identifier for the entity, typically as provided by an external system or authority, that persists across implementing systems  (i.e. a  'logical' identifier). Uses a specialized, complex 'Identifier' data type to capture information about the source of the business identifier - or a URI expressed as a string to an existing entity. ","ARRAY<STRUCT<system STRING, value STRING>>"
ResearchSubject.identifier.system,The system or namespace that defines the identifier.,STRING
ResearchSubject.identifier.value,"The value of the identifier, as defined by the system.",STRING
ResearchSubject.member_of_research_project,,STRING
ResearchSubject.primary_diagnosis_condition,,STRING
ResearchSubject.primary_diagnosis_site,,STRING
