column_name,description,type,mode
id,"The 'logical' identifier of the entity in the repository, e.g. a UUID. This 'id' is unique within a given system. The identified entity may have a different 'id' in a different system.",STRING,REQUIRED
identifier,"A 'business' identifier or accession number for the entity, typically as provided by an external system or authority, that persists across implementing systems (i.e. a 'logical' identifier).",RECORD,REPEATED
label,Short name or abbreviation for dataset. Maps to rdfs:label.,STRING,NULLABLE
data_category,Broad categorization of the contents of the data file.,STRING,NULLABLE
data_type,Specific content type of the data file.,STRING,NULLABLE
file_format,Format of the data files.,STRING,NULLABLE
associated_project,A reference to the Project(s) of which this ResearchSubject is a member. The associated_project may be embedded using the $ref definition or may be a reference to the id for the Project - or a URI expressed as a string to an existing entity.,STRING,REPEATED
drs_uri,A string of characters used to identify a resource on the Data Repo Service(DRS).,STRING,NULLABLE
byte_size,Size of the file in bytes. Maps to dcat:byteSize.,INTEGER,NULLABLE
checksum,"A digit representing the sum of the correct digits in a piece of stored or transmitted digital data, against which later comparisons can be made to detect errors in the data.",STRING,NULLABLE
data_modality,"Data modality describes the biological nature of the information gathered as the result of an Activity, independent of the technology or methods used to produce the information.",STRING,NULLABLE
imaging_modality,An imaging modality describes the imaging equipment and/or method used to acquire certain structural or functional information about the body. These include but are not limited to computed tomography (CT) and magnetic resonance imaging (MRI). Taken from the DICOM standard.,STRING,NULLABLE
dbgap_accession_number,The dbgap accession number for the project.,STRING,NULLABLE
imaging_series,The 'logical' identifier of the series or grouping of imaging files in the system of record which the file is a part of.,STRING,NULLABLE
Subjects,List of ids of Subject entities associated with the File,STRING,REPEATED
ResearchSubjects,List of ids of ResearchSubject entities associated with the File,STRING,REPEATED
Specimens,List of ids of Specimen entities associated with the File,STRING,REPEATED
identifier.system,The system or namespace that defines the identifier.,STRING,NULLABLE
identifier.field_name,The name of the data object in the originating namespace from which the identifier was loaded.,STRING,NULLABLE
identifier.value,"The value of the identifier, as defined by the system.",STRING,NULLABLE
