CDA field,GDC source endpoint,GDC source fields and/or constant values,PDC source entities,PDC source fields and/or constant values,IDC source tables,IDC source fields and/or constant values
id,case,ResearchSubject.id + '.' + (diagnoses.submitter_id if not null; otherwise diagnoses.diagnosis_id),Case JOIN Diagnosis,Case.case_submitter_id + '.' + Diagnosis.diagnosis_submitter_id WHERE Diagnosis.diagnosis_id == Case.diagnoses.diagnosis_id,-,-
identifier.system,-,'GDC',-,'PDC',-,-
identifier.field_name,-,'case.diagnoses.diagnosis_id',-,'Diagnosis.diagnosis_id',-,-
identifier.value,case,diagnoses.diagnosis_id,Diagnosis,diagnosis_id,-,-
identifier.system,-,'GDC',-,'PDC',-,-
identifier.field_name,-,'case.diagnoses.submitter_id',-,'Diagnosis.diagnosis_submitter_id',-,-
identifier.value,case,if not null: diagnoses.submitter_id,Diagnosis,diagnosis_submitter_id,-,-
primary_diagnosis,case,diagnoses.primary_diagnosis,Diagnosis,primary_diagnosis,-,-
age_at_diagnosis,case,diagnoses.age_at_diagnosis,Diagnosis,age_at_diagnosis,-,-
morphology,case,diagnoses.morphology,Diagnosis,morphology,-,-
stage,case,diagnoses.tumor_stage,Diagnosis,tumor_stage,-,-
grade,case,diagnoses.tumor_grade,Diagnosis,tumor_grade,-,-
method_of_diagnosis,case,diagnoses.method_of_diagnosis,Diagnosis,method_of_diagnosis,-,-
Treatment,case,CDA Treatment records corresponding to every treatment_id in case.diagnoses.treatments.treatment_id where case.diagnoses.diagnosis_id corresponds to this Diagnosis,-,-,-,-
