CDA field,GDC source endpoint,GDC source fields and/or constant values,PDC source entities,PDC source fields and/or constant values,IDC source tables,IDC source fields and/or constant values
id,case,ResearchSubject.id + '.' + (diagnoses.treatments.submitter_id if not null; otherwise diagnoses.treatments.treatment_id),-,-,-,-
identifier.system,-,'GDC',-,-,-,-
identifier.field_name,-,'case.diagnoses.treatments.treatment_id',-,-,-,-
identifier.value,case,diagnoses.treatments.treatment_id,-,-,-,-
identifier.system,-,'GDC',-,-,-,-
identifier.field_name,-,'case.diagnoses.treatments.submitter_id',-,-,-,-
identifier.value,case,if not null: diagnoses.treatments.submitter_id,-,-,-,-
treatment_type,case,diagnoses.treatments.treatment_type,-,-,-,-
treatment_outcome,case,diagnoses.treatments.treatment_outcome,-,-,-,-
days_to_treatment_start,case,diagnoses.treatments.days_to_treatment_start,-,-,-,-
days_to_treatment_end,case,diagnoses.treatments.days_to_treatment_end,-,-,-,-
therapeutic_agent,case,diagnoses.treatments.therapeutic_agents,-,-,-,-
treatment_anatomic_site,case,diagnoses.treatments.treatment_anatomic_site,-,-,-,-
treatment_effect,case,diagnoses.treatments.treatment_effect,-,-,-,-
treatment_end_reason,case,diagnoses.treatments.reason_treatment_ended,-,-,-,-
number_of_cycles,case,diagnoses.treatments.number_of_cycles,-,-,-,-
